 by Role ,按角色
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.",通过设置读，写，创建，删除，提交，取消，修改，报表，导入，导出，打印，电子邮件权限并将其应用到用户权的角色和文件类型（称为文档类型）。
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,字段权限是更高级别的权限;所有的字段都可以应用权限以及权限规则;这样你可以针对特定的角色隐藏或设置为只读
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",0级权限是“文档级”的权限，也就是说，它们是主要用于访问文档。
Permissions get applied on Users based on what Roles they are assigned.,用户的权限是由他所在的角色的权限集合决定的。
Person,人
Personal Info,个人信息
Phone,电话
Phone No.,电话号码
Pick Columns,选择列
Picture URL,图片网址
Pincode,PIN代码
Please attach a file first.,请先上传一个文件
Please attach a file or set a URL,请上传一个文件或设置一个URL
Please do not change the rows above {0},请不要更改{0}上面的行
Please enable pop-ups,请启用弹出窗口
Please enter Event's Date and Time!,请输入事件的日期和时间!
Please enter some text!,请输入一些文字!
Please enter title!,请输入标题!
Please login to Upvote!,请登录后进行投票
Please make sure that there are no empty columns in the file.,请确保文件中没有空列。
Please refresh to get the latest document.,请刷新以获得最新的文档。
Please select a file or url,请选择一个文件或URL
Please select atleast 1 column from {0} to sort,请从{0}至少选择一列进行排序
Please specify,请填写
Please specify 'Auto Email Id' in Setup > Outgoing Email Settings,在设置>传出电子邮件设置请填写"自动电子邮件Id"
Please specify Event date and time,请填写事件的日期和时间
Plugin,插件
Port,端口
Post,发布
Post Publicly,公开发布
Post Topic,发表帖子
Post already exists. Cannot add again!,帖子已经存在。不能再添加！
Post does not exist. Please add post!,帖子不存在。请添加！
Post to user,发布到用户
Posts,帖子
Previous Record,上一记录
Primary,主要的
Print,打印
Print Format,打印格式
Print Format Type,打印格式类型
Print Hide,打印隐藏
Print Width,打印宽度
Print...,打印...
Printing and Branding,打印及品牌形象
Priority,优先级别
Private,私密的
Properties,属性列表
Property,属性
Property Setter,属性设置
Property Type,物业类型
Public,公共的
Published,已发布
Published On,发表于
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,从收件箱取出电子邮件，并将它们附加为沟通记录（称为已知的联系记录）。
Query,查询
Query Options,查询选项
Query Report,查询报表
Query must be a SELECT,查询必须是一个SELECT
Quick Help for Setting Permissions,设置权限快速帮助
Quick Help for User Permissions,用户权限快速帮助
Re-open,重新打开
Read,查看
Read Only,只读
Received,已收到
Recipient,接收者
Recipients,接收列表
Record does not exist,记录不存在
Ref DocType,参考DocType(文档类型)
Ref Name,参考名称
Ref Type,参考类型
Reference,参考
Reference DocName,DocName(文档名称)做为参考
Reference DocType,DocType(文档类型)作为参考
Reference Name,参考名称
Reference Type,参考类型
Refresh,刷新
Refreshing...,刷新中...
Registered but disabled.,注册了但已被禁用
Registration Details Emailed.,注册资料通过电子邮件发送。
Reload Page,加载页面
Remove,移除
Remove Bookmark,移除书签
Remove all customizations?,移除所有自定义?
Rename many items by uploading a .csv file.,通过上传.csv文件重命名多个项目(产品)。
Rename...,重命名...
Repeat On,重复开
Repeat Till,重复直到
Repeat this Event,重复此事件
Replies,回复列表
Report,报告
Report Builder,报表生成器
Report Builder reports are managed directly by the report builder. Nothing to do.,报表生成器报表直接由报表生成器来管理。。
Report Hide,隐藏报告
Report Name,报告名称
Report Type,报告类型
Report an Issue,上报一个问题
Report cannot be set for Single types,单一的类型不能设置报告
Report was not saved (there were errors),有错误发生因此报告没有被保存
Reqd,REQD
Reset Password Key,重设密码密钥
Reset Permissions for {0}?,为{0}重置权限?
Restrict IP,限制IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),限制用户仅能通过此IP地址访问。多个IP地址，可以通过用逗号分隔。也接受像（111.111.111）部分的IP地址
Right,右边
Role,角色
Role Name,角色名称
Role Permissions Manager,角色权限管理
Role and Level,角色和级别
Role exists,角色已存在
Roles,角色列表
Roles Assigned,已分配的角色
Roles Assigned To User,分配给用户的角色列表
Roles HTML,角色的HTML
Roles can be set for users from their User page.,可以在用户界面对其进行角色分配。
Root {0} cannot be deleted,根{0}无法删除
Row,行
Rules defining transition of state in the workflow.,工作流状态的过渡的规则制定。
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",规则是用于指定状态怎么流转以及什么角色能够改变状态。
SMTP Server (e.g. smtp.gmail.com),SMTP服务器（如smtp.gmail.com）
Sales,销售
Same file has already been attached to the record,相同的文件已经被附加到记录中
Saturday,星期六
Save,保存
Scheduler Log,定时计划器日志
Script,脚本
Script Report,脚本报告
Script Type,脚本类型
Search,搜索
Search Fields,搜索字段
Section Break,分节符
Security,安全性
Security Settings,安全设置
Select,选择
Select All,全选
Select Attachments,选择附件
Select Document Type,选择文件类型
Select Document Type or Role to start.,选择文件类型或角色
Select Print Format,选择打印格式
Select Report Name,选择报告名称
Select Role,选择角色
Select To Download:,选择要下载的:
Select Type,选择类型
Select User or DocType to start.,选择用户或的DocType(文档类型)启动
Select a Banner Image first.,首先选择一个横幅图像
Select an image of approx width 150px with a transparent background for best results.,选择约宽150像素的透明背景以获得最佳效果的图像。
Select dates to create a new ,选择一个日期来创建新的
"Select modules to be shown (based on permission). If hidden, they will be hidden for all users.",选择要显示的模块（基于权限）;如果设置为隐藏的则所有的用户将不能看见此模块。
Select or drag across time slots to create a new event.,选择或拖动到时间节点以创建一个新的事件。
"Select target = ""_blank"" to open in a new page.",选择target=_blank 在新页面中打开。
Select the label after which you want to insert new field.,插入新字段后选择标签。
Send,发送
Send As Email,由电​​子邮件发送
Send Me A Copy,给我发一份
Send Password,发送密码
Send Print in Body and Attachment,发送打印的正文和附件
Send an email reminder in the morning,在早上发送电​​子邮件提醒
Send download link of a recent backup to System Managers,发送最近的备份的下载链接给系统管理员
Send enquiries to this email address,发送咨询信息到这个邮箱地址
Sender,寄件人
Sent,已发送
Sent Mail,发送邮件
Sent Quotation,发送报价
Sent or Received,已发送或已接收
Series,系列
Series {0} already used in {1},系列{0}已经被应用在{1}
Server,服务器
Server Error: Please check your server logs or contact tech support.,服务器错误：请检查您的服务器日志或联系技术支持。
Session Expired. Logging you out,会话过期退出登录
Session Expiry,会话过期
Session Expiry in Hours e.g. 06:00,会话过期的时间(小时)，例如06:00
Session Expiry must be in format {0},会话到期格式必须是{0}
Set Banner from Image,设置图像为横幅
Set Link,设置链接
Set Login and Password if authentication is required.,如果需要身份验证设置登录名和密码。
Set Only Once,设置一次
Set Password,设置密码
Set Permissions on Document Types and Roles,为文件类型和角色设置权限
Set Permissions per User,为用户设置权限
Set User Permissions,设置用户权限
Set Value,设定值
Set numbering series for transactions.,为交易设置编号系列。
Set outgoing mail server.,设置发送邮件服务器
Settings,设置
Settings for About Us Page.,关于我们页面的设置。
Settings for Contact Us Page.,联系我们页面的设置。
Setup,架设
Setup > User,架设>用户
Setup > User Permissions Manager,架设>用户权限管理
Setup of fonts and background.,设置字体和背景
"Setup of top navigation bar, footer and logo.",设置顶部导航栏，页脚和徽标。
Short Bio,个人简介
Short Name,简称
Shortcut,捷径方式
Show / Hide Modules,显示/隐藏模块
Show Details,显示详细信息
Show Print First,首先显示打印
Show Tags,显示标签
Show or hide modules globally.,显示或隐藏全局模块。
Show rows with zero values,显示值为零的行
Show this field as title,此字段的值作为标题显示
Showing only for (if not empty),仅显示为（如果不为空）
Sidebar,边栏
Sidebar Items,边栏项目
Sidebar Links for Home Page only,主页的边栏链接
Sign Up,报名
Sign in,登录
Sign up,报名
Single Post (article).,单个帖子(文章)
Single Types have only one record no tables associated. Values are stored in tabSingles,单一类型只有一个记录。值被存储在tabSingles
Sitemap Browser,网站地图浏览
Slideshow,幻灯片
Slideshow Items,幻灯片项目
Slideshow Name,幻灯片名称
Small Text,小号文字
Social Login Keys,社交媒体登录
Solid background color (default light gray),纯色背景色（默认浅灰色）
Sorry we were unable to find what you were looking for.,对不起，我们无法找到您所查询的。
Sorry you are not permitted to view this page.,对不起，您没有权限浏览这个页面。
Sort By,由字段排序
Sort Field,排序字段
Sort Order,排序(升或降序)
Standard,标准
Standard Print Format cannot be updated,标准打印格式不能被更新
Standard Reports,标准报告列表
Start Report For,启动报告
Starts on,开始于
State,状态
States,列表列表
"States for workflow (e.g. Draft, Approved, Cancelled).",工作流程状态（例如草案，批准，已取消）
Static File Timestamp,静态文件的时间戳
Status,状态
Step 1: Set the name and save.,第1步：设置名称和保存。
Step 2: Set Letterhead content.,第2步：设置信头的内容。
Style,风格
Style Settings,样式设置
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",风格代表按钮的颜色：成功 - 绿色，危险 - 红，逆 - 黑色，主要 - 深蓝色，信息 - 浅蓝，警告 - 橙
Sub-domain provided by erpnext.com,由erpboost.com提供的子域
Subdomain,子域名
Subject,主题
Submit,提交
Submit an Issue,提交问题
Submitted,已提交
Submitted Document cannot be converted back to draft. Transition row {0},提交的文件的状态不能被转换回草稿状态
Submitted Record cannot be deleted,提交记录不能被删除
Success,成功
Suggestion,建议
Sunday,星期天
Switch to Website,切换到网站
Sync Inbox,同步收件箱
System,系统
System Settings,系统设置
System User,系统用户
System and Website Users,系统和网站用户
System generated mails will be sent from this email id.,系统生成的邮件将被从这个电子邮件ID发送。
Table,表
Table {0} cannot be empty,表{0}不能为空
Tag,标签
Tag Name,标签名称
Tags,标签列表
Tahoma,宋体
Target,目标
Tasks,任务列表
Team Members,团队成员
Team Members Heading,团队成员标题
Template Pages cannot be moved,模板页面不能被移动
Template Path,模板路径
Test,测试
Test Runner,测试运行
Text,文本
Text Align,文本对齐
Text Editor,文本编辑器
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,您的公司/网站的名称: 会显示在浏览器标题栏中的名称并且所有页面都会有这样的前缀称号。
The system provides many pre-defined roles. You can add new roles to set finer permissions.,该系统提供了许多预先定义的角色。您可以添加新的角色设定更精细的权限。
Then By (optional),再由（可选）
There were errors,有错误发生
There were errors while sending email. Please try again.,在发送电子邮件时出现错误。请再试一次。
"These permissions will apply for all transactions where the permitted record is linked. For example, if Company C is added to User Permissions of user X, user X will only be able to see transactions that has company C as a linked value.",这些权限也会被应用到被连接到的记录;例如用户X能够有访问公司C的权限;那么用户X将仅能看到所有交易中链接到公司C的交易记录。
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,交易中的会自动更新并且基于这些更新的值的用户权限会被应用以检查用户是否有权限进行访问。
"These will also be set as default values for those links, if only one such permission record is defined.",如果只有一个权限记录被定义那么这个权限记录会被设置成默认的权限(针对链接记录的权限)。
Third Party Authentication,第三方认证
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>
myfield
eval:doc.myfield=='My Value'<br>
eval:doc.age>18",仅当条件表达式满足的时候此字段才会显示（例子）:查看 doc.myfield ==我的价值
This goes above the slideshow.,放置在幻灯片上面。
This is PERMANENT action and you cannot undo. Continue?,这是永久性的操作并且你不能撤消;要继续吗?
This is permanent action and you cannot undo. Continue?,这是永久性的操作并且你不能撤消;要继续吗?
This must be checked if Style Settings are applicable,如果样式设置适用这个必须被勾选
This role update User Permissions for a user,为某个用户的角色更新权限
Thursday,星期四
Time,时间
Time Zone,时区
Title,标题
Title / headline of your page,页面标题
Title Case,标题案例
Title Field,标题字段
Title Prefix,标题前缀
Title field must be a valid fieldname,标题字段必须是有效的字段名
Title is required,标题是必需的
To,至
To Do,代办事项
"To format columns, give column labels in the query.",要格式化列，将列标签放入查询中。
"To give acess to a role for only specific records, check the 'Apply User Permissions'. User Permissions are used to limit users with such role to specific records.",让某个选择只能访问某些记录，选择“应用用户权限”功能
"To run a test add the module name in the route after '{0}'. For example, {1}", 让一个模块的测试运行请在“{0}”之后添加模块名称到路由。例如， {1}
ToDo,待办事项
Too many writes in one request. Please send smaller requests,一个请求中包含太多的写操作请分割成小些的请求
Top Bar,顶栏
Top Bar Background,顶栏背景
Top Bar Item,顶栏元素
Top Bar Items,顶栏元素列表
Top Bar Text,顶栏文本
Top Bar text and background is same color. Please change.,最上面一栏的文本和背景颜色相同。请更改。
Transaction,交易
Transition Rules,过渡规则
Tuesday,星期二
Tweet will be shared via your user account (if specified),推文将通过您的用户帐户共享（如果指定）
Twitter Share,Twitter分享
Twitter Share via,经由Twitter分享
Type,类型
Unable to find attachment {0},找不到附件{0}
Unable to load: {0},无法加载:{0}
Unable to open attached file. Please try again.,无法打开附加的文件。请再试一次。
Unable to send emails at this time,无法在这个时候发送电子邮件
Unknown Column: {0},未知列:{0}
Unknown Print Format: {0},未知的打印格式;{0}
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",未知文件编码。尝试UTF-8，windows-1250访问，windows-1252访问。
Unread Messages,未读消息
Unsubscribe,退订
Unsubscribed,已退订
Up,向上
Upcoming Events for Today,今日近期活动
Update,更新
Update Field,更新字段
Update Parent,更新父级
Update Value,更新值
Updated,已更新
Upload,上传
Upload Attachment,上传附件
Upload a file,上传文件
Upload and Import,上传和导入
Uploading...,上传中...
Upvotes,投票
Use TLS,使用TLS
User,用户
User Cannot Create,用户无法创建
User Cannot Search,用户不能被搜索
User Defaults,用户默认值
User ID of a blog writer.,一个博客作者的用户ID。
User Image,用户图片
User Permission,用户权限
User Permissions,用户权限列表
User Permissions Manager,用户权限管理
User Roles,用户角色列表
User Tags,用户标签列表
User Type,用户类型
"User Type ""System User"" can access Desktop. ""Website User"" can only be logged into the website and portal pages. ",System user类型的用户能够访问应用桌面;Website user 仅能访问网站以及portal页面
User Vote,用户投票
User not allowed to delete.,用户不允许被删除。
User permissions should not apply for this Link,这个链接不能应用用户权限
User {0} cannot be deleted,用户{0}无法被删除
User {0} cannot be disabled,用户{0}不能被禁用
User {0} cannot be renamed,用户{0}无法重命名
User {0} does not exist,用户{0}不存在
UserRole,用户角色
Users and Permissions,用户与权限
Users with role {0}:,有{0}角色的用户:
Value,值
Value cannot be changed for {0},值不能被改变为{0}
Value for a check field can be either 0 or 1, 可勾选的字段值可以为0或1
Value missing for,缺少值
Verdana,宋体
Version,版本
Version restored,版本恢复
View or manage Website Route tree.,查看或管理的网站路径树。
Visit,访问
Warning,警告
Web Page,网页
Web Site Forum Page.,网站论坛页
Website,网站
Website Group,网站组
Website Route,网站路由
Website Route Permission,网站路由权限
Website Script,网站脚本
Website Settings,网站设置
Website Slideshow,网站幻灯片
Website Slideshow Item,网站幻灯片元素
Website Template,网站模板
Website User,网站用户
Wednesday,星期三
Welcome email sent,欢迎电子邮件已发送
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.",当您取消一个文件后并进行保存，它会得到一个新的编号，例如从SN1000变成SN1000-1。
Width,宽度
Will be used in url (usually first name).,在URL（通常是姓）将被使用。
With Groups,与组
With Ledgers,与分类账
Workflow,工作流程
Workflow Action,工作流操作
Workflow Action Name,工作流操作名称
Workflow Document State,工作流文档状态
Workflow Document States,工作流文档状态列表
Workflow Name,工作流名称
Workflow State,工作流状态
Workflow State Field,工作流状态字段
Workflow Transition,工作流程转换
Workflow Transitions,工作流程转换列表
Workflow will start after saving.,工作流程将在保存后启动。
Write,写
Write a Python file in the same folder where this is saved and return column and result.,写一个Python文件，在这个被保存在同一文件中返回列和结果。
Write a SELECT query. Note result is not paged (all data is sent in one go).,写一个SELECT查询。结果不分页（所有数据都一下子拿出来）。
Write titles and introductions to your blog.,写标题和介绍给你的博客。
Writers Introduction,作家简介
Year,年
Yes,是
Yesterday,昨天
You are not allowed to create / edit reports,你没有权限创建/编辑报告
You are not allowed to export the data of: {0}. Downloading empty template.,你没有权限导出的数据: {0};
You are not allowed to export this report,你没有权限导出本报告
You are not allowed to print this document,你不允许打印此文档
You are not allowed to send emails related to this document,你没有权限发送与此文档相关的电子邮件
"You can change Submitted documents by cancelling them and then, amending them.",您可以通过取消已提交的文件然后对其进行修正更改
You can use Customize Form to set levels on fields.,您可以使用自定义表单来设置字段的级别。
You cannot install this app,您无法安装这个应用
You have unsaved changes in this form. Please save before you continue.,你在本表单有未保存的更改;在继续之前请保存
You need to be logged in and have System Manager Role to be able to access backups.,您需要先登录，并具有系统管理员角色才能够访问备份。
You need write permission to rename,你需要写权限来重新命名
"Your download is being built, this may take a few moments...",您的下载正在建立，这可能需要一些时间......
[Label]:[Field Type]/[Options]:[Width],[标签]:[字段类型] / [选项列表]:[宽度]
add your own CSS (careful!),添加您自己的CSS（请小心!）
adjust,调整
align-center,对准中心
align-justify,两边对齐
align-left,左对齐
align-right,右对齐
and,和
arrow-down,向下箭头
arrow-left,向左箭头
arrow-right,右箭头
arrow-up,向上箭头
asterisk,星号
backward,后面
ban-circle,ban-circle
barcode,条形码
beginning with,以某某开头
bell,bell
bold,加粗
book,书
bookmark,书签
briefcase,公文包
bullhorn,扩音器
calendar,日历
camera,相机
certificate,证书
check,勾选
chevron-down,向下人字形
chevron-left,向左人字形
chevron-right,向右人字形
chevron-up,向上人字形
circle-arrow-down,向下圆圈箭头
circle-arrow-left,向左圆圈箭头
circle-arrow-right,向右圆圈箭头
circle-arrow-up,向上圆圈箭头
cog,cog
comment,评论
comments,评论列表
dd-mm-yyyy,dd-mm-yyyy
dd/mm/yyyy,dd/mm/yyyy
download,下载
download-alt,下载的Alt
edit,编辑
eject,拒绝
envelope,信封
exclamation-sign,惊叹号标志
eye-close,眼睛闭
eye-open,眼睛开
facetime-video,FaceTime的视频
fast-backward,快退
fast-forward,快进
file,文件
film,电影
filter,过滤器
fire,火
flag,旗
folder-close,文件夹闭
folder-open,文件夹打开
font,字形
forward,向前
found,发现
fullscreen,全屏
gift,礼物
glass,玻璃
globe,地球
hand-down,用手向下
hand-left,左手
hand-right,右手
hand-up,举手
hdd,硬盘
headphones,头戴耳机
heart,心脏
home,家
icon,图标
inbox,收件箱
indent-left,缩进左
indent-right,缩进右
info-sign,信息符号
is not allowed.,是不允许的
italic,斜体
leaf,叶
lft,lft
list,列表
list-alt,列表ALT
lock,锁
lowercase,小写
magnet,磁铁
map-marker,地图标记
memcached is not working / stopped. Please start memcached for best results.,memcached is not working / stopped. Please start memcached for best results.
minus,减
minus-sign,减号
mm-dd-yyyy,mm-dd-yyyy
mm/dd/yyyy,mm/dd/yyyy
move,移动
music,音乐
none of,没有
off,off
ok,ok
ok-circle,ok-circle
ok-sign,ok-sign
one of,其中一个
or,或
pause,暂停
pencil,铅笔
picture,图片
plane,飞机
play,玩
play-circle,玩圈
plus,加
plus-sign,加号
print,打印
qrcode,二维码
question-sign,问题符号
random,随机
refresh,刷新
remove,清除
remove-circle,删除圈
remove-sign,删除符号
repeat,重复
resize-full,调整满
resize-horizontal,调整大小水平
resize-small,调整到小
resize-vertical,垂直调整
retweet,retweet
rgt,rgt
road,道路
screenshot,屏幕截图
search,搜索
share,共享
share-alt,share-alt
shopping-cart,购物车
signal,信号
star,明星
star-empty,空星
step-backward,向后
step-forward,向前
stop,停止
tag,标签
tags,标签列表
"target = ""_blank""",target = '_blank'
tasks,任务列表
text-height,文字高度
text-width,文字宽度
th,th
th-large,th-large
th-list,th-list
thumbs-down,拇指向下
thumbs-up,竖起大拇指
time,时间
tint,色彩
to,至
trash,垃圾
upload,上传
user,用户
user_image_show,user_image_show
values and dates,值和日期
volume-down,容积下降
volume-off,体积关
volume-up,容积上升
warning-sign,警告符号
wrench,扳手
yyyy-mm-dd,yyyy-mm-dd
zoom-in,放大
zoom-out,拉远
{0} by {1},{0} by {1}
{0} cannot be set for Single types,单类型不能设置{0}
{0} does not exist in row {1},第{1}行中不存在{0}
{0} in row {1} cannot have both URL and child items,第{1}行的{0}不能同时有URL和子项
{0} is not a valid email id,{0}不是一个有效的电子邮件ID
{0} is required,{0}是必需的
{0} is saved,{0}保存成功
{0} must be one of {1},{0}必须是{1}中的一个
{0} not a valid State,{0}不是有效的状态
{0} not allowed in fieldname {1},{0}不允许出现在字段名{1}中
{0} not allowed in name,名称中不能包含{0}
{0} not allowed to be renamed,{0}不能够被重命名
{0} updated,{0}已被更新
{0} {1} already exists,{0} {1}已经存在
{0} {1} cannot be a leaf node as it has children,{0} {1}不能是一个叶节点，因为它有子节点
"{0} {1} does not exist, select a new target to merge",{0} {1}不存在，选择一个新的目标合并
{0}: Cannot set Amend without Cancel,{0}没有取消的权限的话是不能更改操作的
{0}: Cannot set Assign Amend if not Submittable,{0}状态不是可提交权限的话是不能指派修改权限的
{0}: Cannot set Assign Submit if not Submittable,{0}状态不是可提交权限的话是不能指派提交权限的
{0}: Cannot set Cancel without Submit,{0}没有提交权限的话是不能设置取消权限的
{0}: Cannot set Import without Create,{0}没有创建的权限的话是不能设置导入权限的
"{0}: Cannot set Submit, Cancel, Amend without Write",{0}没有写权限的话是不能设置提交 取消 修改权限的
{0}: Cannot set import as {1} is not importable,{0}:无法设置导入因为{1}是不可导入的
"{0}: Create, Submit, Cancel and Amend only valid at level 0",{0}:创建，提交，取消和修改只适用于0级
{0}: No basic permissions set,{0}:无基本权限设置
"{0}: Only one rule allowed with the same Role, Level and Apply User Permissions",{0}:只有一个规则被允许应用到相同的角色，级别和用户权限中
{0}: Permission at level 0 must be set before higher levels are set,{0}:在更高级别设置前必须先设置级别0的权限
{app_title},{ app_title }
