 (Half Day),（半天）
Customer Details,客户详细信息
Customer Feedback,客户反馈
Customer Group,客户组
Customer Group / Customer,客户组/客户
Customer Group Name,客户群组名称
Customer Intro,客户简介
Customer Issue,客户问题
Customer Issue against Serial No.,基于序列号的客户问题
Customer Name,客户名称
Customer Naming By,客户命名通过
Customer Service,顾客服务
Customer database.,客户数据库
Customer is required,客户是必须的
Customer master.,客户主数据
Customer required for 'Customerwise Discount','客户智能折扣'的客户是必须的
Customer {0} does not belong to project {1},客户{0}不属于项目{1}
Customer {0} does not exist,客户{0}不存在
Customer's Item Code,客户的产品编号
Customer's Purchase Order Date,客户的采购订单日期
Customer's Purchase Order No,客户的采购订单号
Customer's Purchase Order Number,客户的采购订单编号
Customer's Vendor,客户的供应商
Customers Not Buying Since Long Time,很长时间未进行购买的客户
Customerwise Discount,客户智能折扣
Customize,定制
Customize the Notification,自定义通知
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,自定义邮件中的介绍部分html;每个交易都可以有介绍文字
DN Detail,DN明细
Daily,每日
Daily Time Log Summary,每日时间记录汇总
Database Folder ID,数据库文件夹的ID
Database of potential customers.,潜在客户数据库
Date,日期
Date Format,日期格式
Date Of Retirement,退休日
Date Of Retirement must be greater than Date of Joining,退休日期必须大于加入的日期
Date is repeated,日期重复
Date of Birth,出生日期
Date of Issue,发行日期
Date of Joining,加入日期
Date of Joining must be greater than Date of Birth,加入日期必须大于出生日期
Date on which lorry started from supplier warehouse,货车从供应商的仓库开始上货日期
Date on which lorry started from your warehouse,货车从本仓库开始上货日期
Dates,日期
Days Since Last Order,天过去了从上次下单至今
Days for which Holidays are blocked for this department.,这个部门的假期的天数已经被封锁了
Dealer,零售商
Debit,借方
Debit Amt,借记额
Debit Note,借记单
Debit To,借记给
Debit and Credit not equal for this voucher. Difference is {0}.,这个凭证的借记和贷记不相等;不同的是{0}
Deduct,扣除
Deduction,扣除
Deduction Type,扣除类型
Deduction1,Deduction1
Deductions,扣除
Default,默认
Default Account,默认帐户
Default BOM,默认的物料清单
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,当选择此模式后;默认银行/现金帐户将自动在POS机发票时更新
Default Bank Account,默认银行账户
Default Buying Cost Center,默认购买成本中心
Default Buying Price List,默认采购价格表
Default Cash Account,默认的现金账户
Default Company,默认公司
Default Cost Center for tracking expense for this item.,这个商品默认的成本中心来跟踪支出
Default Currency,默认货币
Default Customer Group,默认客户组
Default Expense Account,默认费用帐户
Default Income Account,默认收入账户
Default Item Group,默认商品组
Default Price List,默认价格表
Default Purchase Account in which cost of the item will be debited.,该商品的成本将从默认购买帐户中被扣除
Default Selling Cost Center,默认销售成本中心
Default Settings,默认设置
Default Source Warehouse,默认源仓库
Default Stock UOM,默认库存计量单位
Default Supplier,默认的供应商
Default Supplier Type,默认的供应商类别
Default Target Warehouse,默认目标仓库
Default Territory,默认区域
Default Unit of Measure,默认计量单位
"Default Unit of Measure can not be changed directly because you have already made some transaction(s) with another UOM. To change default UOM, use 'UOM Replace Utility' tool under Stock module.",默认的单位不能被更改;因为有一些交易用了其它的计量单位.你可以在库存模块中使用单位替换工具来改变默认的计量单位
Default Valuation Method,默认的估算方法
Default Warehouse,默认仓库
Default Warehouse is mandatory for stock Item.,库存的商品必须指定默认仓库
Default settings for accounting transactions.,会计事务的默认设置
Default settings for buying transactions.,买入交易的默认设置
Default settings for selling transactions.,卖出交易的默认设置
Default settings for stock transactions.,库存事务的默认设置
Defense,Defense
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","为成本中心设置预算<a href=""#!List/Company"">公司主数据</a>"
Delete,删除
Delete {0} {1}?,删除{0} {1}?
Delivered,已交付
Delivered Items To Be Billed,交付的项目结算
Delivered Qty,交付数量
Delivered Serial No {0} cannot be deleted,交付编号{0}无法删除
Delivery Date,交货日期
Delivery Details,交货细节
Delivery Document No,交货证文件编号
Delivery Document Type,交货文件类型
Delivery Note,送货单
Delivery Note Item,送货单清单
Delivery Note Items,送货单清单
Delivery Note Message,送货单消息
Delivery Note No,送货单号
Delivery Note Required,需要送货单
Delivery Note Trends,送货单趋势
Delivery Note {0} is not submitted,送货单{0}未提交
Delivery Note {0} must not be submitted,送货单{0}不能被提交
Delivery Notes {0} must be cancelled before cancelling this Sales Order,这个销售订单被取消之前送货单{0}必须取消
Delivery Status,交货状态
Delivery Time,交货时间
Delivery To,交付给
Department,部门
Department Stores,百货公司
Depends on LWP,依赖于LWP
Depreciation,折旧
Description,描述
Description HTML,说明HTML
Designation,Designation
Designer,设计师
Detailed Breakup of the totals,总计细分
Details,详细信息
Difference (Dr - Cr),差异(Dr - Cr)
Difference Account,Difference Account
"Difference Account must be a 'Liability' type account, since this Stock Reconciliation is an Opening Entry",Difference Account必须是'负债'类型的帐户因为盘点是一个开始分录
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,不同计量单位的商品会导致不正确的(总)净重值;确保每个项目的净重是在同一个计量单位。
Direct Expenses,直接费用
Direct Income,直接收入
Disable,已禁用
Disable Rounded Total,总数禁用四舍五入
Disabled,禁用
Discount  %,折扣%
Discount %,折扣%
Discount (%),折扣(%)
Discount Amount,折扣金额
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice",采购订单，采购入库单，采购发票中折扣字段均可用
Discount Percentage,折扣百分比
Discount must be less than 100,折扣必须小于100
Discount(%),折扣(%)
Dispatch,调度
Display all the individual items delivered with the main items,显示所有与主商品一起发货的单个商品
Distribute transport overhead across items.,将运输费用分摊到每件商品上
Distribution,分销
Distribution Id,分销ID
Distribution Name,分销名称
Distributor,经销商
Divorced,分开的
Do Not Contact,不要联系
Do not show any symbol like $ etc next to currencies.,不要显示任何符号在货币旁边(例如$)
Do really want to unstop production order: ,你确定要取消停止生产订单?
Do you really want to STOP ,你确定要停止吗?
Do you really want to STOP this Material Request?,你确定要停止这种物料要求?
Do you really want to Submit all Salary Slip for month {0} and year {1},你确定要为{1}年和{0}月提交工资单吗?
Do you really want to UNSTOP ,你确定要取消停止操作吗?
Do you really want to UNSTOP this Material Request?,你确定要取消停止物料请求?
Do you really want to stop production order: ,你确定要停止生产订单吗?
Doc Name,文件名称
Doc Type,文件类型
Document Description,文档说明
Document Type,文件类型
Documents,文件
Domain,域
Don't send Employee Birthday Reminders,不要发送员工生日提醒
Download Materials Required,下载所需物料
Download Reconcilation Data,下载汇总数据
Download Template,下载模板
Download a report containing all raw materials with their latest inventory status,下载一个包含所有原料信息以及他们最新的库存状态的报告
"Download the Template, fill appropriate data and attach the modified file.",下载模板，填写相应的数据，并上传修改后的文件
"Download the Template, fill appropriate data and attach the modified file.", 下载模板，填写相应的数据，并上传修改后的文件
"All dates and employee combination in the selected period will come in the template, with existing attendance records",在所选日期范围所有的员工的考勤记录都会出现在模板里面
Draft,草稿
Dropbox,Dropbox的
Dropbox Access Allowed,Dropbox允许访问
Dropbox Access Key,Dropbox访问Key
Dropbox Access Secret,Dropbox访问的密钥
Due Date,到期日
Due Date cannot be after {0},截止日期不能{0}之后
Due Date cannot be before Posting Date,到期日在发布日期之前
Duplicate Entry. Please check Authorization Rule {0},重复的条目;请检查授权规则{0}
Duplicate Serial No entered for Item {0},商品{0}使用了重复的序列号
Duplicate entry,重复的条目
Duplicate row {0} with same {1},第{0}行与第{1}行重复
Duties and Taxes,关税和税款
ERPNext Setup,ERPBoost设置
Earliest,最早
Earnest Money,保证金
Earning,盈利
Earning & Deduction,收入及扣除
Earning Type,收入类型
Earning1,Earning1
Edit,编辑
Education,教育
Educational Qualification,学历
Educational Qualification Details,学历详情
Eg. smsgateway.com/api/send_sms.cgi,例如 smsgateway.com / API / send_sms.cgi
Either debit or credit amount is required for {0},对{0}而言无论是借方或贷方金额是必需的
Either target qty or target amount is mandatory,目标的数量或金额是必须的
Either target qty or target amount is mandatory.,目标的数量或金额是必须的
Electrical,电力
Electricity Cost,电力成本
Electricity cost per hour,每小时电费
Electronics,电子产品
Email,电子邮件
Email Digest,电子邮件摘要
Email Digest Settings,电子邮件摘要设置
Email Digest: ,电子邮件摘要:
Email Id,电子邮件Id
"Email Id where a job applicant will email e.g. ""jobs@example.com""",应聘者将要发邮件进行应聘的邮箱例如"jobs@example.com"
Email Notifications,电子邮件通知
Email Sent?,邮件发送成功?
"Email id must be unique, already exists for {0}",已经存在{0};电子邮件ID必须是唯一的
Email ids separated by commas.,电子邮件ID用逗号分隔
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",从销售邮件中提取中销售引子的设置;例如从"sales@example.com"提取信息
Emergency Contact,紧急联络人
Emergency Contact Details,紧急联系方式
Emergency Phone,紧急电话
Employee,雇员
Employee Birthday,员工生日
Employee Details,员工详细信息
Employee Education,员工教育情况
Employee External Work History,员工工作历史
Employee Information,雇员资料
Employee Internal Work History,员工内部工作经历
Employee Internal Work Historys,员工内部工作经历
Employee Leave Approver,员工请假审批
Employee Leave Balance,员工休假结余
Employee Name,员工姓名
Employee Number,员工人数
Employee Records to be created by,员工纪录创建者
Employee Settings,员工设置
Employee Type,员工类型
"Employee designation (e.g. CEO, Director etc.).",员工指派(例如总裁，总监等)
Employee master.,员工主数据
Employee record is created using selected field. ,使用所选字段创建员工记录
Employee records.,员工记录
Employee relieved on {0} must be set as 'Left',Employee relieved on {0} must be set as 'Left'
Employee {0} has already applied for {1} between {2} and {3},员工{0}已经申请了{1}的{2}和{3}之间
Employee {0} is not active or does not exist,员工{0}未激活或不存在
Employee {0} was on leave on {1}. Cannot mark attendance.,员工{0}在{1}期间休假;不能标记考勤
Employees Email Id,员工的电子邮件ID
Employment Details,雇佣详情
Employment Type,雇佣类型
Enable / disable currencies.,启用/禁用的货币
Enabled,已启用
Encashment Date,兑现日期
End Date,结束日期
End Date can not be less than Start Date,结束日期不能小于开始日期
End date of current invoice's period,当前发票的期限的最后一天
End of Life,周期结束
Energy,精力
Engineer,工程师
Enter Verification Code,输入验证码
Enter campaign name if the source of lead is campaign.,如果销售机会的来源于活动请输入活动名称
Enter department to which this Contact belongs,输入联系人所属的部门
Enter designation of this Contact,输入此联系人的职位信息(e.g. CEO)
"Enter email id separated by commas, invoice will be mailed automatically on particular date",电子邮件ID用逗号隔开并且发票会自动在特定的日期邮寄
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,输入要进行生产的商品以及数量或者下载原材料进行分析
Enter name of campaign if source of enquiry is campaign,如果咨询来源于活动则请输入活动名称
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",在这里输入静态URL参数(如称发件人= ERPBoost;用户名= ERPBoost;密码= 1234等)
Enter the company name under which Account Head will be created for this Supplier,请输入公司名称;供应商将在此公司的账户户头下被创建
Enter url parameter for message,输入消息的url参数
Enter url parameter for receiver nos,输入接收方URL参数
Entertainment & Leisure,娱乐休闲
Entertainment Expenses,娱乐费用
Entries,录入
Entries against,为以下录入:
Entries are not allowed against this Fiscal Year if the year is closed.,如果财年结束则不允许为此财年录入
Entries before {0} are frozen,{0}被冻结前的录入
Equity,公平
Error: {0} > {1},错误:{0} > {1}
Estimated Material Cost,估算的物料成本
Everyone can read,每个人都可以查看
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",如果序列号已设置并且交易编号没有指定;则基于序列号的编号会自动创建出来(主动留空)
Exchange Rate,汇率
Excise Page Number,消费页码
Excise Voucher,消费凭证
Execution,执行
Executive Search,猎头
Exemption Limit,免税限额
Exhibition,展示
Existing Customer,现有客户
Exit,退出
Exit Interview Details,退出面试详情
Expected,预期
Expected Completion Date can not be less than Project Start Date,预计完成日期不能少于项目开始日期
Expected Date cannot be before Material Request Date,预计时间不能在物料申请之前
Expected Delivery Date,预计交货日期
Expected Delivery Date cannot be before Purchase Order Date,预计交货日期不能在采购订单日期之前
Expected Delivery Date cannot be before Sales Order Date,预计交货日期不能在销售订单日期之前
Expected End Date,预计结束日期
Expected Start Date,预计开始日期
Expense,费用
Expense Account,开支帐户
Expense Account is mandatory,开支帐户是必需的
Expense Claim,报销
Expense Claim Approved,报销批准
Expense Claim Approved Message,报销批准的消息
Expense Claim Detail,报销明细
Expense Claim Details,报销明细
Expense Claim Rejected,报销被拒绝
Expense Claim Rejected Message,报销拒绝的消息
Expense Claim Type,报销类型
Expense Claim has been approved.,报销已被审批
Expense Claim has been rejected.,报销被拒绝
Expense Claim is pending approval. Only the Expense Approver can update status.,报销状态为等待;只有开支审批的人才能更新状态
Expense Date,开支日期
Expense Details,开支详情
Expense Head,总支出
Expense account is mandatory for item {0},商品{0}的开支帐是必须的
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,商品的{0}的开支或盈亏帐户是必须的因为它影响整个库存价值
Expenses,开支
Expenses Booked,支出预订
Expenses Included In Valuation,支出计入估值
Expenses booked for the digest period,消化期的费用预订
Expiry Date,到期时间
Exports,出口
External,外部
Extract Emails,提取电子邮件
FCFS Rate,FCFS比率
Failed: ,失败:
Family Background,家庭背景
Fax,传真
Features Setup,功能设置
Feed,Feed
Feed Type,Feed类型
Feedback,反馈
Female,女
Fetch exploded BOM (including sub-assemblies),Fetch exploded BOM (including sub-assemblies)
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order",字段在送货单，报价单，销售发票，销售订单可用
Files Folder ID,文件夹的ID
Fill the form and save it,填写表格并保存
Filter based on customer,客户过滤器
Filter based on item,商品筛选
Financial / accounting year.,财务/会计年度
Financial Analytics,财务分析
Financial Services,金融服务
Financial Year End Date,财政年度年结束日期
Financial Year Start Date,财政年度开始日期
Finished Goods,成品
First Name,姓
First Responded On,首先回应于
Fiscal Year,财政年度
Fixed Asset,固定资产
Fixed Assets,固定资产
Follow via Email,通过电子邮件跟进
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",下表将显示总值;如果一些商品在子合同中;那么这些值也将会从这些自合同的物料请求的主数据中提取出来
Food,食物
"Food, Beverage & Tobacco",食品，饮料与烟草
For Company,对于公司
For Employee,对于员工
For Employee Name,对于员工姓名
For Price List,对于价格表
For Production,对于生产
For Reference Only.,仅供参考
For Sales Invoice,对于销售发票
For Server Side Print Formats,对于服务器端打印的格式
For Supplier,对于供应商
For Warehouse,对于仓库
For Warehouse is required before Submit,提交需要选择仓库
"For e.g. 2012, 2012-13",例如2012以及2012-13
For reference,供参考
For reference only.,仅供参考
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",为方便客户，这些代码可被打印并用于如发票和送货单
Fraction,分数
Fraction Units,分数单位
Freeze Stock Entries,冻结库存条目
Freeze Stocks Older Than [Days],冻结早于[天]的库存
Freight and Forwarding Charges,货运费
Friday,星期五
From,从
From Bill of Materials,从材料清单
From Company,从公司
From Currency,从货币
From Currency and To Currency cannot be same,货币不能相同
From Customer,从客户
From Customer Issue,从客户问题
From Date,从日期
From Date must be before To Date,开始日期必须早于结束日期
From Delivery Note,从送货单
From Employee,从员工
From Lead,从销售引子
From Maintenance Schedule,对维护计划
From Material Request,从物料请求
From Opportunity,从机会
From Package No.,从包装号
From Purchase Order,从采购订单
From Purchase Receipt,从采购入库单
From Quotation,从报价单
From Sales Order,从销售订单
From Supplier Quotation,从供应商报价单
From Time,从时间
From Value,从价值
From and To dates required,起始和结束时间都是必须的
From value must be less than to value in row {0},第{0}行的开始值要小于结束值
Frozen,冻结的
Frozen Accounts Modifier,冻结帐户修改
Fulfilled,适合
Full Name,全名
Full-time,全日制
Fully Completed,全面完成
Furniture and Fixture,家具及固定装置
Further accounts can be made under Groups but entries can be made against Ledger,可以在组下继续创建账号但录入必须在分类账上
"Further accounts can be made under Groups, but entries can be made against Ledger",可以在组下继续创建账号但录入必须在分类账上
Further nodes can be only created under 'Group' type nodes,只能在组类型的节点下创建节点
GL Entry,GL Entry
Gantt Chart,甘特图
Gantt chart of all tasks.,所有任务的甘特图
Gender,性别
General,General
General Ledger,总帐
Generate Description HTML,生成的HTML说明
Generate Material Requests (MRP) and Production Orders.,生成物料请求(MRP)和生产订单
Generate Salary Slips,生成工资条
Generate Schedule,生成时间表
Generates HTML to include selected image in the description,生成HTML包括所选图像的描述
Get Advances Paid,查看预付款
Get Advances Received,查看已收预付款
Get Against Entries,查看录入的数据
Get Current Stock,查看那当前库存
Get Items,查看商品
Get Items From Sales Orders,查看销售订单的商品
Get Items from BOM,查看物料清单的商品
Get Last Purchase Rate,查看上次采购比率
Get Outstanding Invoices,查看那未付发票
Get Relevant Entries,查看相关记录
Get Sales Orders,查看那销售订单
Get Specification Details,查看详细规格
Get Stock and Rate,查看库存和比率
Get Template,查看模板
Get Terms and Conditions,查看条款和条件
Get Weekly Off Dates,查看每周休息日期
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",查看过账日期源/目标仓库估值率和可用库存;如果是序列化的商品请输入序列号后按下此按钮
Global Defaults,全局默认值
Global POS Setting {0} already created for company {1},公司{1}的全局POS设置{0}已设置
Global Settings,全局设置
"Go to the appropriate group (usually Application of Funds > Current Assets > Bank Accounts and create a new Account Ledger (by clicking on Add Child) of type ""Bank""",转至相应的组（通常是资金应用>流动资产>银行帐户，并创建类型的新帐户分类帐（点击添加子项）:'银行'
"Go to the appropriate group (usually Source of Funds > Current Liabilities > Taxes and Duties and create a new Account Ledger (by clicking on Add Child) of type ""Tax"" and do mention the Tax rate.",转至相应的组（通常是资金来源>流动负债>税和关税，并创建一个新的帐户分类帐类型'税' （点击添加子项）; 请务必声明税率
Goal,目标
Goals,目标
Goods received from Suppliers.,从供应商收到的货
Google Drive,Google Drive
Google Drive Access Allowed,谷歌驱动器允许访问
Government,政府
Graduate,毕业生
Grand Total,累计
Grand Total (Company Currency),总计（公司货币）
"Grid """,Grid
Grocery,杂货
Gross Margin %,毛利率%
Gross Margin Value,毛利率价值
Gross Pay,工资总额
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,工资总额+欠费金额+兑现金额 - 扣除项目金额
Gross Profit,毛利
Gross Profit (%),毛利率%
Gross Weight,毛重
Gross Weight UOM,毛重计量单位
Group,组
Group by Account,通过账号分组
Group by Voucher,通过凭证分组
Group or Ledger,组或分类账
Groups,组
HR Manager,人力资源经理
HR Settings,人力资源设置
HTML / Banner that will show on the top of product list.,HTML /横幅，将显示在产品列表的顶部。
Half Day,半天
Half Yearly,半年度
Half-yearly,每半年一次
Happy Birthday!,祝你生日快乐！
Hardware,硬件
Has Batch No,有批号
Has Child Node,有子节点
Has Serial No,有序列号
Head of Marketing and Sales,营销和销售主管
Header,头部
Health Care,保健
Health Concerns,健康问题
Health Details,健康细节
Held On,举行
Help HTML,HTML帮助
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",说明:要链接到另一个记录在系统中;使用#Form/Note/[Note Name]的链接网址.(不要使用"http://")
"Here you can maintain family details like name and occupation of parent, spouse and children",在这里你可以维系家庭的详细信息，如姓名;父母配偶子女及其职业
"Here you can maintain height, weight, allergies, medical concerns etc",在这里你可以保持身高，体重，过敏，医疗问题等
Hide Currency Symbol,隐藏货币符号
High,高
History In Company,公司历史
Hold,持有
Holiday,节日
Holiday List,假日列表
Holiday List Name,假日列表名称
Holiday master.,假日主数据
Holidays,假期
Home,主页
Host,主机
"Host, Email and Password required if emails are to be pulled",主机，电子邮件和密码必需的
Hour,小时
Hour Rate,计时工资
Hour Rate Labour,工时率
Hours,小时
How frequently?,多久？
"How should this currency be formatted? If not set, will use system defaults",货币进行格式化？如果没有设置，将使用系统默认
Human Resources,人力资源
Identification of the package for the delivery (for print),鉴定发货包(用于打印)
If Income or Expense,如果收入或支出
If Monthly Budget Exceeded,如果每月超出预算
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table. Available in Delivery Note and Sales Order",如果定义了销售物料清单(BOM)，那么该包的实际物料清单(BOM)显示为表格并且送货单和销售订单上可见
"If Supplier Part Number exists for given Item, it gets stored here",如果供应商零件编号存在则它被保存在这里
If Yearly Budget Exceeded,如果年度预算超出
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.",如果选中，则物料清单(BOM)的子装配项将被视为需要获取原材料。否则，所有的子装配项，将被视为一个原材料。
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",如果选中，则总工作日将包括节假日;那么这将缩短每天的工资的价值
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果选中，纳税额将被视为已包括在Print Rate / Print Amount中
If different than customer address,如果和客户的地址不同
"If disable, 'Rounded Total' field will not be visible in any transaction",如果禁用，'Rounded Total'字段将在任何交易中不可见
"If enabled, the system will post accounting entries for inventory automatically.",如果启用，系统将自动为库存创建会计分录
If more than one package of the same type (for print),如果同一类型不止一个相同的包(用于打印）
"If no change in either Quantity or Valuation Rate, leave the cell blank.",如果数量或估价率没有变化，则这一列留空
If not applicable please enter: NA,如果不适用，请输入: NA
"If not checked, the list will have to be added to each Department where it has to be applied.",如果未选中，则列表将被添加到每个被应用到的部门
"If specified, send the newsletter using this email address",如果指定了，使用这个电子邮件地址发送电子报
"If the account is frozen, entries are allowed to restricted users.",如果帐户被冻结，那么只有少数被授权的用户能够操作
"If this Account represents a Customer, Supplier or Employee, set it here.",如果该帐户代表一个客户，供应商或员工，请在这里设置
If you follow Quality Inspection. Enables Item QA Required and QA No in Purchase Receipt,如果你遵循质量检验。采购入库单中启用要求质量保证以及质量保证编号
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,如果你有销售团队和销售合作伙伴（渠道合作伙伴），他们可以被标记并维持其在销售的贡献
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.",如果您为购置税和费用主数据创建一个标准的模板，请选择一个然后点击下面的按钮
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.",如果您为购置税和费用主数据创建一个标准的模板，请选择一个然后点击下面的按钮
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page",如果你有很长的需要打印，这个功能可以被用来分割要打印多个页面，每个页面上的都有页眉和页脚
If you involve in manufacturing activity. Enables Item 'Is Manufactured',如果涉及到生产制造请启用'是被生产的'选型
Ignore,忽略
Ignored: ,已忽略:
Image,图像
Image View,查看图像
Implementation Partner,实施合作伙伴
Import Attendance,导入考勤
Import Failed!,导入失败！
Import Log,导入日志
Import Successful!,导入成功！
Imports,进口
In Hours,以小时为单位
In Process,进行中
In Qty,数量上
In Value,价值
In Words,存在的话
In Words (Company Currency),存在的话(公司货币)
In Words (Export) will be visible once you save the Delivery Note.,保存送货单后如果在的话将可见
In Words will be visible once you save the Delivery Note.,保存送货单后如果在的话将可见
In Words will be visible once you save the Purchase Invoice.,保存购买发票后如果在的话将可见
In Words will be visible once you save the Purchase Order.,保存采购订单后如果在的话将可见
In Words will be visible once you save the Purchase Receipt.,保存购买收据后如果在的话将可见
In Words will be visible once you save the Quotation.,保存报价单后如果在的话将可见
In Words will be visible once you save the Sales Invoice.,你保存销售发票后如果在的话将可见
In Words will be visible once you save the Sales Order.,保存销售订单后如果在的话将可见
Incentives,奖励
Include Reconciled Entries,包括对账项目
Include holidays in Total no. of Working Days,工作日包括节假日的总数
Income,收益
Income / Expense,收益/支出
Income Account,收益账户
Income Booked,收益入账
Income Tax,所得税
Income Year to Date,年初至今的收入
Income booked for the digest period,消化期的收益入账
Incoming,收益
Incoming Rate,收益率
Incoming quality inspection.,来料质量检验
Incorrect or Inactive BOM {0} for Item {1} at row {2},第{2}行产品{1}的物料清单(BOM){0}不正确或未激活
Indicates that the package is a part of this delivery,指明该包是交付的一部分
Indirect Expenses,间接费用
Indirect Income,间接收入
Individual,个人
Industry,行业
Industry Type,行业类型
Inspected By,检验员
Inspection Criteria,检验标准
Inspection Required,需要检验
Inspection Type,检验类型
Installation Date,安装日期
Installation Note,安装事项
Installation Note Item,安装注意项
Installation Note {0} has already been submitted,安装事项{0}已提交
Installation Status,安装状态
Installation Time,安装时间
Installation date cannot be before delivery date for Item {0},{0}的安装日期不能在交付日期前
Installation record for a Serial No.,序列号安装记录
Installed Qty,安装数量
Instructions,说明
Integrate incoming support emails to Support Ticket,将客户支持部分的邮件整合进来
Interested,有兴趣
Intern,实习生
Internal,内部
Internet Publishing,互联网出版
Introduction,介绍
Invalid Barcode or Serial No,无效的条码或序列号
Invalid Mail Server. Please rectify and try again.,无效的邮件服务器。请纠正然后再试一次。
Invalid Master Name,无效的数据名称
Invalid User Name or Support Password. Please rectify and try again.,无效的用户名持密码。请纠正然后再试一次
Invalid quantity specified for item {0}. Quantity should be greater than 0.,产品{0}数量不正确;数量应大于0
Inventory,库存
Inventory & Support,库存与支持
Investment Banking,投资银行业务
Investments,投资
Invoice Date,发票日期
Invoice Details,发票明细
Invoice No,发票号码
Invoice Period From Date,发票周期开始日期
Invoice Period From and Invoice Period To dates mandatory for recurring invoice,经常性发票的开始日期和结束日期都是必须的
Invoice Period To Date,发票周期结束日期
Invoiced Amount (Exculsive Tax),发票金额(不包括税金)
Is Active,是有效的
Is Advance,是提前的
Is Cancelled,是取消了
Is Carry Forward,是已结转
Is Default,是默认的
Is Encash,是兑现了的
Is Fixed Asset Item,是固定资产项目
Is LWP,是LWP
Is Opening,是正开幕中
Is Opening Entry,是开始分录
Is POS,是POS机
Is Primary Contact,是主要联络人
Is Purchase Item,是购买产品
Is Sales Item,是销售产品
Is Service Item,是服务产品
Is Stock Item,是库存项
Is Sub Contracted Item,是分包商品
Is Subcontracted,是转包的
Is this Tax included in Basic Rate?,此税是基本税率吗?
Issue,Issue
Issue Date,Issue Date
Issue Details,Issue Details
Issued Items Against Production Order,针对此生产订单发货
It can also be used to create opening stock entries and to fix stock value.,它也可以用来创建期初存货和库存值
Item,商品
Item Advanced,商品高级选项
Item Barcode,商品条码
Item Batch Nos,商品批号
Item Code,商品编码
Item Code and Warehouse should already exist.,商品编码和仓库应该已经存在
Item Code cannot be changed for Serial No.,商品编码不能改变为序列号
Item Code is mandatory because Item is not automatically numbered,商品编号是强制性的，因为商品没有自动编号
Item Code required at Row No {0},第{0}行的商品编码需要填写
Item Customer Detail,商品客户详情
Item Description,商品说明
Item Desription,商品描述
Item Details,商品详细信息
Item Group,商品组
Item Group Name,商品组名称
Item Group Tree,商品组树形结构
Item Groups in Details,商品组详情
Item Image (if not slideshow),商品图片(如果不是幻灯片)
Item Name,商品名称
Item Naming By,商品命名规则
Item Price,商品价格
Item Prices,商品价格
Item Quality Inspection Parameter,商品质量检验参数
Item Reorder,商品重新排序
Item Serial No,商品序列号
Item Serial Nos,商品序列号
Item Shortage Report,商品短缺报告
Item Supplier,商品供应商
Item Supplier Details,商品供应商详细信息
Item Tax,商品税
Item Tax Amount,商品税额
Item Tax Rate,商品税率
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,商品税的第{0}行的账户类型必须是税;收入;支出或是可记账的
Item Tax1,商品税
Item To Manufacture,产品制造
Item UOM,商品计量单位
Item Website Specification,商品网站规格描述
Item Website Specifications,商品网站规格描述
Item Wise Tax Detail,商品税明细
Item Wise Tax Detail ,商品税明细
Item is required,商品是必须的
Item is updated,商品信息已更新
Item master.,商品主数据
"Item must be a purchase item, as it is present in one or many Active BOMs",商品必须是需要购买的商品，因为它在一个或多个物料清单中都有体现
Item or Warehouse for row {0} does not match Material Request,第{0}行的商品或者仓库都不匹配物料需求
Item table can not be blank,商品表不能为空
Item to be manufactured or repacked,商品将被重新生产或重新包装
Item valuation updated,商品估价已更新
Item will be saved by this name in the data base.,商品将以此名称存入数据库
Item {0} appears multiple times in Price List {1},商品{0}在价格表{1}中出现了多次
